Law-Name,Category,Chapter,Article-Category,Article-Number,Article-Description,Punishment
"ITEGEKO N° 14/2009 RYO KUWA
30/06/2009 RISHYIRAHO AMAFARANGA
YO KWANDIKISHA IKINYABIZIGA",NA,UMUTWE WA V: UMUTUNGO N’IMARI,Icyiciro cya 2: Ubuyobozi Bukuru n’inzego z’imirimo bya RRA,"Ingingo ya 30: Imenyekanisha ry’umubare w’amafaranga yinjiye mu kigega cya RRA, uko iyacunga n’igenzurwa ryayo","RRA imenyesha Minisiteri iyireberera, umubare w‟amafaranga yinjiye mu kigega cyayo n‟uko iyakoresha. Hagomba kubaho igenzura ry‟imikoreshereze y‟amafaranga ya RRA hakurikijwe amategeko agenga O.G. n° special of 15/05/2009 
 29 
imicungire y‟imari ya Leta.",
"ITEGEKO N° 14/2009 RYO KUWA
30/06/2009 RISHYIRAHO AMAFARANGA
YO KWANDIKISHA IKINYABIZIGA",NA,UMUTWE WA V: UMUTUNGO N’IMARI,Icyiciro cya 2: Ubuyobozi Bukuru n’inzego z’imirimo bya RRA,Ingingo ya 31: Igenzura rya buri mwaka ry’imikoreshereze,"Igenzura rya buri mwaka ry‟imikoreshereze y‟amafaranga ya RRA rikorwa n‟Umugenzuzi Mukuru w‟Imari ya Leta, hakurikijwe amategeko abigenga.",
"ITEGEKO N° 14/2009 RYO KUWA
30/06/2009 RISHYIRAHO AMAFARANGA
YO KWANDIKISHA IKINYABIZIGA",NA,UMUTWE WA V: UMUTUNGO N’IMARI,Icyiciro cya 2: Ubuyobozi Bukuru n’inzego z’imirimo bya RRA,Ingingo ya 32: Iyemezwa n’icungwa ry’ingengo y’imari ya RRA,Ingengo y’imari ya RRA yemezwa kandi igacungwa hakurikijwe amategeko abigenga.,
"ITEGEKO N° 14/2009 RYO KUWA
30/06/2009 RISHYIRAHO AMAFARANGA
YO KWANDIKISHA IKINYABIZIGA",NA,UMUTWE WA V: UMUTUNGO N’IMARI,Icyiciro cya 2: Ubuyobozi Bukuru n’inzego z’imirimo bya RRA,"Ingingo ya 33: Imikoreshereze, imicungire n’imigenzurire by’umutungo bya RRA","Imikoreshereze, imicungire n’imigenzurire by’umutungo bya RRA bikorwa hakurikijwe amategeko abigenga. Ubugenzuzi bushinzwe igenzura rya buri munsi ry’imikoreshereze y’umutungo wa RRA bushinzwe kugenzura buri gihe inyandiko z’ibaruramari za RRA. Buha raporo inama y’ubutegetesi bukagenera kopi Komiseri Mukuru wa RRA.",
"ITEGEKO N° 14/2009 RYO KUWA
30/06/2009 RISHYIRAHO AMAFARANGA
YO KWANDIKISHA IKINYABIZIGA",NA,UMUTWE WA V: UMUTUNGO N’IMARI,Icyiciro cya 2: Ubuyobozi Bukuru n’inzego z’imirimo bya RRA,Ingingo ya 34 : Ubugenzuzi bwa RRA n’inshingano zabwo,"Ubugenzuzi bushinzwe igenzura rya buri munsi ry’imikoreshereze y’umutungo wa RRA bushinzwe kugenzura buri gihe inyandiko z’ibaruramari za RRA. Buha raporo inama y’ubutegetesi bukagenera kopi Komiseri Mukuru wa RRA. Iyo raporo igaragaza ingamba zo gukosora ibikosamye. Ubugenzuzi bugomba kandi gushyikiriza inama y‟ubutegetesi raporo y‟igenzura rya buri gihembwe, bukerekana mu ncamake amagenzura yakozwe muri icyo gihembwe, bukagenera kopi Komiseri Mukuru na Minisiteri ireberera RRA.",
"ITEGEKO N° 14/2009 RYO KUWA
30/06/2009 RISHYIRAHO AMAFARANGA
YO KWANDIKISHA IKINYABIZIGA",NA,UMUTWE WA V: UMUTUNGO N’IMARI,Icyiciro cya 2: Ubuyobozi Bukuru n’inzego z’imirimo bya RRA,Ingingo ya 35 : Igenzurwa ry’imikoreshereze y’umutungo wa RRA,"Imikoreshereze y‟umutungo wa RRA igenzurwa kandi igakorerwa raporo, hakurikijwe amategeko agenga icungwa ry‟umutungo wa Leta.",
"ITEGEKO N° 14/2009 RYO KUWA
30/06/2009 RISHYIRAHO AMAFARANGA
YO KWANDIKISHA IKINYABIZIGA",NA,UMUTWE WA V: UMUTUNGO N’IMARI,Icyiciro cya 2: Ubuyobozi Bukuru n’inzego z’imirimo bya RRA,Ingingo ya 36 : Raporo y’umwaka w’ibaruramari,"Mu mezi atatu (3) akurikira impera z‟umwaka w‟ibaruramari, Komiseri 
Mukuru wa RRA ashyikiriza Minisitiri 
uyireberera raporo y‟umwaka 
w‟ibaruramari, imaze kwemezwa n‟Inama 
y‟Ubuyobozi hakurikijwe amategeko 
agenga imicungire y‟imari n‟umutungo bya 
Leta.",
"ITEGEKO N° 14/2009 RYO KUWA
30/06/2009 RISHYIRAHO AMAFARANGA
YO KWANDIKISHA IKINYABIZIGA",NA,UMUTWE WA VI: INGINGO ZISOZA,Icyiciro cya 2: Ubuyobozi Bukuru n’inzego z’imirimo bya RRA,Ingingo ya 37: Itegurwa n’isuzumwa ry’iri tegeko,"Iri tegeko ryateguwe mu rurimi rw‟ikinyarwanda, risuzumwa kandi ritorwa mu rurimi rw‟ikinyarwanda.",
"ITEGEKO N° 14/2009 RYO KUWA
30/06/2009 RISHYIRAHO AMAFARANGA
YO KWANDIKISHA IKINYABIZIGA",NA,UMUTWE WA VI: INGINGO ZISOZA,Icyiciro cya 2: Ubuyobozi Bukuru n’inzego z’imirimo bya RRA,Ingingo ya 38: Ivanwaho ry’ingingo zinyuranyije n’itegeko,Ingingo zose z‟amategeko abanziriza iri kandi zinyuranyije na ryo zivanyweho.,
"ITEGEKO N° 14/2009 RYO KUWA
30/06/2009 RISHYIRAHO AMAFARANGA
YO KWANDIKISHA IKINYABIZIGA",NA,UMUTWE WA VI: INGINGO ZISOZA,Icyiciro cya 2: Ubuyobozi Bukuru n’inzego z’imirimo bya RRA,Ingingo ya 39: Igihe itegeko ritangira gukurikizwa,"Iri tegeko ritangira gukurikizwa ku munsi ritangarijweho mu Igazeti ya Leta ya Repubulika y‟u Rwanda. Kigali, kuwa 27/04/2009",
"AMABWIRIZA N° 001/2019 YO KU WA 05/12/2019 YA PEREZIDA W’URUKIKO RW’IKIRENGA YEREKEYE UBWUNZI MU MANZA Z’IMBONEZAMUBANO, IZ’UBUCURUZI, IZ’UMURIMO, N’IZ’UBUTEGETSI",Amabwiriza,UMUTWE WA MBERE: INGINGO RUSANGE,ICYICIRO CYA MBERE: UBWUNZI MURI RUSANGE,Ingingo ya mbere: Ibisobanuro by’amagambo,"1° Ubwunzi : uburyo bwo gukemura impaka bushingiye ku biganiro hagati y’impande zombi bishobora kuba rimwe cyangwa mu nshuro nyinshi, babifashijemo n’umuhuza kugira ngo bagere ku gisubizo buri wese yemera kandi yakiriye. 2° Umuhuza wemewe: umuhuza utari umukozi w’Urukiko uri ku rutonde rw’abahuza mu manza zaregewe inkiko rwemejwe rukanatangazwa ku rubuga rw’Urwego rw’Ubucamanza. 3° Umwanzuro w’ubwumvikane: Amasezerano hagati y’impande ziri mu bwunzi cyangwa zimwe muri zo, akubiyemo ibyo zumvikanyeho mu kurangiza ibibazo byose cyangwa bimwe byashyizwe mu bwunzi.",
"AMABWIRIZA N° 001/2019 YO KU WA 05/12/2019 YA PEREZIDA W’URUKIKO RW’IKIRENGA YEREKEYE UBWUNZI MU MANZA Z’IMBONEZAMUBANO, IZ’UBUCURUZI, IZ’UMURIMO, N’IZ’UBUTEGETSI",Amabwiriza,UMUTWE WA MBERE: INGINGO RUSANGE,ICYICIRO CYA MBERE: UBWUNZI MURI RUSANGE,Ingingo ya 2: Ibice bigize ubwunzi,Ubwunzi bugizwe n’ibice by’ingenzi bikurikira: a) ibiganiro bitegura ubwunzi hamwe n’impande zombi igikorwa; b) ibiganiro bitangiza ubwunzi nyirizina; c) ibiganiro bisesengura ibyo impande zombi zikeneye; d) ibiganiro bishakisha ibisubizo; e) ibiganiro byanzura ku ngingo z’ubwumvikane.,
"AMABWIRIZA N° 001/2019 YO KU WA 05/12/2019 YA PEREZIDA W’URUKIKO RW’IKIRENGA YEREKEYE UBWUNZI MU MANZA Z’IMBONEZAMUBANO, IZ’UBUCURUZI, IZ’UMURIMO, N’IZ’UBUTEGETSI",Amabwiriza,UMUTWE WA MBERE: INGINGO RUSANGE,ICYICIRO CYA II: AMAHAME AGENGA UBWUNZI,Ingingo ya 3: Kwita ku byo buri ruhande rukeneye,"Umuhuza ntabwo yita gusa ku byo ababuranyi bagaragaza nk’uburenganzira bwabo bushingiye ku mategeko n’ibimenyetso, ahubwo yita cyane ko impande zombi zibona ibyo zikeneye impaka zishingiraho kugira ngo ubwumvikane bugerweho.",
"AMABWIRIZA N° 001/2019 YO KU WA 05/12/2019 YA PEREZIDA W’URUKIKO RW’IKIRENGA YEREKEYE UBWUNZI MU MANZA Z’IMBONEZAMUBANO, IZ’UBUCURUZI, IZ’UMURIMO, N’IZ’UBUTEGETSI",Amabwiriza,UMUTWE WA MBERE: INGINGO RUSANGE,ICYICIRO CYA II: AMAHAME AGENGA UBWUNZI,Ingingo ya 4: Ukumvikana kw’ababuranyi ku bushake,Umuhuza ashishikariza ababuranyi kumvikana abibafashamo mu biganiro ariko ntabahatira kumvikana nubwo yaba abona ko ari byo biri mu nyungu zabo.,
"AMABWIRIZA N° 001/2019 YO KU WA 05/12/2019 YA PEREZIDA W’URUKIKO RW’IKIRENGA YEREKEYE UBWUNZI MU MANZA Z’IMBONEZAMUBANO, IZ’UBUCURUZI, IZ’UMURIMO, N’IZ’UBUTEGETSI",Amabwiriza,UMUTWE WA MBERE: INGINGO RUSANGE,ICYICIRO CYA II: AMAHAME AGENGA UBWUNZI,Ingingo ya 5: Kugira ibanga ry’ibyabereye mu bwunzi,"Ibyabereye mu bwunzi byose biba ari ibanga kandi ntibishobora kuvugirwa mu rukiko cyangwa ahandi keretse iyo : a) impande zombi zemeye ko bivugwa ahandi ; b) ibyakozwe cyangwa ibyavuzwe n’undi muntu wari mu bwunzi yemeye ko bitangazwa; c) amakuru yatanzwe yari asanzwe ari ku karubanda; d) ibitangajwe bigamije gukumira cyangwa kugabanya ubukana bw’icyago kigiye kuhitana umuntu cyangwa kurengera inyungu z’umwana;  
 
 
e)  hariho icyemezo cy’Urukiko 
kibitangira uburenganzira cyangwa se 
Itegeko; 
 
f) bitewe no gushyira mu bikorwa 
umwanzuro w’ubwumvikane. 
 
 Umuhuza anasobanurira impande zombi ko ibyo 
baganiriye mu muhezo na buri ruhande ukwarwo 
atabibwira urundi ruhande atabiherewe 
uburenganzira.  ",
"AMABWIRIZA N° 001/2019 YO KU WA 05/12/2019 YA PEREZIDA W’URUKIKO RW’IKIRENGA YEREKEYE UBWUNZI MU MANZA Z’IMBONEZAMUBANO, IZ’UBUCURUZI, IZ’UMURIMO, N’IZ’UBUTEGETSI",Amabwiriza,UMUTWE WA MBERE: INGINGO RUSANGE,ICYICIRO CYA II: AMAHAME AGENGA UBWUNZI,Ingingo ya 6: Kudakoresha ibyabereye mu bwunzi nk’ikimenyetso,"Amakuru yatanzwe mu bwunzi ntashobora gutangwa nk’ikimenyetso mu Rukiko, keretse: a) impande zombi zibyemeranyijweho; b) amakuru atanzwe yashoboraga gutangazwa; c) biri mu nyungu rusange cyangwa mu nyungu z’ubutabera gutangaza ibyabereye mu bwunzi.",
"AMABWIRIZA N° 001/2019 YO KU WA 05/12/2019 YA PEREZIDA W’URUKIKO RW’IKIRENGA YEREKEYE UBWUNZI MU MANZA Z’IMBONEZAMUBANO, IZ’UBUCURUZI, IZ’UMURIMO, N’IZ’UBUTEGETSI",Amabwiriza,UMUTWE WA MBERE: INGINGO RUSANGE,ICYICIRO CYA 3: ABAFITE URUHARE MU BWUNZI,Ingingo ya 7: Umuhuza,Umuhuza ashobora kuba: a) Umwanditsi wakiriye ababuranyi mu nama ntegurarubanza; b) Umucamanza Perezida w’Urukiko yashyizeho ; c) undi muhuza wemewe ababuranyi bahisemo babifashijwemo n’Urukiko. Urutonde rw’abahuza bemewe ruboneka ku rubuga rw’Urwego rw’Ubucamanza.,
"AMABWIRIZA N° 001/2019 YO KU WA 05/12/2019 YA PEREZIDA W’URUKIKO RW’IKIRENGA YEREKEYE UBWUNZI MU MANZA Z’IMBONEZAMUBANO, IZ’UBUCURUZI, IZ’UMURIMO, N’IZ’UBUTEGETSI",Amabwiriza,UMUTWE WA MBERE: INGINGO RUSANGE,ICYICIRO CYA 3: ABAFITE URUHARE MU BWUNZI,Ingingo ya 8: Gushyirwa ku rutonde rw’abahuza bemewe,Abahuza bemewe batoranwa mu babisabye bujuje ibikurikira: a) kuba barakurikiye amahugurwa yemewe n’Urwego rw’Ubucamanza; b) kuba bakurikira amahugurwa ahoraho mu bwunzi.,
"AMABWIRIZA N° 001/2019 YO KU WA 05/12/2019 YA PEREZIDA W’URUKIKO RW’IKIRENGA YEREKEYE UBWUNZI MU MANZA Z’IMBONEZAMUBANO, IZ’UBUCURUZI, IZ’UMURIMO, N’IZ’UBUTEGETSI",Amabwiriza,UMUTWE WA MBERE: INGINGO RUSANGE,ICYICIRO CYA 3: ABAFITE URUHARE MU BWUNZI,Ingingo ya 9: Uruhare rw’umuhuza mu gikorwa cy’ubwunzi,"Umuhuza asobanurira abo yunga kimwe n’abandi bose bari mu gikorwa cy’Ubwunzi, inzira y’ubwunzi kandi agomba kumenya neza ko babyumvise. Umuhuza afite inshingano yo gusobanurira abari mu bwunzi uruhare rwe n’amahame Ubwunzi bugenderaho. Umuhuza afasha ababuranyi gushyikirana no guhana ibitekerezo kandi akabashishikariza gushakisha inzira zose zo kubona igisubizo kinogeye impande zombi. Umuhuza ashobora gusaba abo yunga gutanga inyandiko, incamake y’uburyo bumva ibibazo n’icyakorwa kugira ngo kumvikana bishoboke. Umuhuza afasha impande zombi kuganira ku byo buri ruhande rukeneye kugira ngo kumvikana bigerweho, inyungu za buri ruhande, akanemerera buri ruhande kugaragaza uko rwiyumva, rwaba rurakaye, rubabaye, rufite ihungabana cyangwa se andi marangamutima.  Umuhuza ashobora kugira ibiganiro n’impande 
zombi ziri kumwe cyangwa buri ruhande 
ukwarwo ruri kumwe cyangwa rutari kumwe 
n’abarwunganira.  
Umuhuza ayobora igikorwa cy’ubwunzi nta 
ruhande abangamira kandi agaha abo yunga 
amahirwe angana yo kubumva, kugira uruhare 
mu gikorwa cy’ubwunzi no kwemererwa gusaba 
inama yaba mu mategeko cyangwa se ibindi 
mbere y’uko hagira umwanzuro ugerwaho. ",
"AMABWIRIZA N° 001/2019 YO KU WA 05/12/2019 YA PEREZIDA W’URUKIKO RW’IKIRENGA YEREKEYE UBWUNZI MU MANZA Z’IMBONEZAMUBANO, IZ’UBUCURUZI, IZ’UMURIMO, N’IZ’UBUTEGETSI",Amabwiriza,UMUTWE WA MBERE: INGINGO RUSANGE,ICYICIRO CYA 3: ABAFITE URUHARE MU BWUNZI,Ingingo ya 10: Inshingano z’Umuhuza,"Umuhuza yirinda kubogama no kuba yagaragara mu maso y’abo yunga ko afite uruhande abogamiyeho. Umuhuza ntabwo ari nk’impuguke, ntabwo atanga igitekerezo cy’uko abona ibintu kandi ntabwo ari umukemurampaka Nta bubasha umuhuza afite bwo gutegeka uko we abona impaka zakemuka. Mu gihe nta bwumvikane bugezweho cyangwa ababuranyi badashoboye kurangiza impaka zose, ababuranyi bashobora gusaba umuhuza mu magambo cyangwa mu nyandiko inama ku gisubizo abona ko gikwiye kurangiza impaka.  Impande zungwa zishobora kudakurikiza inama 
zihawe kandi Umuhuza na we ashobora kwanga 
gutanga inama asabwe muri ubwo buryo nta 
mpamvu atanze. 
Umuhuza arigisha, agahugura, akayobora kandi 
agatoza impande zombi azifasha mu buryo bwo 
kuganira neza. 
Umuhuza afasha impande zombi kwandika neza 
umwanzuro w’ubwumvikane ku buryo usubiza 
ibibazo byose byaganiriweho kandi ukaba 
ushobora gushyirwa mu bikorwa nta zindi mpaka 
uteje. ",
"AMABWIRIZA N° 001/2019 YO KU WA 05/12/2019 YA PEREZIDA W’URUKIKO RW’IKIRENGA YEREKEYE UBWUNZI MU MANZA Z’IMBONEZAMUBANO, IZ’UBUCURUZI, IZ’UMURIMO, N’IZ’UBUTEGETSI",Amabwiriza,UMUTWE WA MBERE: INGINGO RUSANGE,ICYICIRO CYA 3: ABAFITE URUHARE MU BWUNZI,Ingingo ya 11: Ubaburanyi,"Ababuranyi basabwa gufatanya n’Umuhuza nta buriganya kugira ngo igikorwa cy’Ubwunzi cyihute mu buryo bwose bushoboka. Ababuranyi bafite inshingano zo kwitegura neza no kwitabira ibiganiro byose bo ubwabo cyangwa ababahagaririye bahaye ububasha bwo kumvikana no w’Ubwumvikane. gusinya umwanzuro Iyo ubwunzi bwakozwe n’umuhuza wigenga, igihe ababuranyi bahawe kigomba kubahirizwa keretse iyo basabye ko cyongerwa. Iyo batabisabye kandi ntibatange raporo, ntihagire n’uza gusaba ko iburanisha risubukurwa mu gihe  cy’iminsi cumi n’itanu (15) uhereye igihe 
bahawe kirangiriye, urubanza rwabo rurasibwa.",
"AMABWIRIZA N° 001/2019 YO KU WA 05/12/2019 YA PEREZIDA W’URUKIKO RW’IKIRENGA YEREKEYE UBWUNZI MU MANZA Z’IMBONEZAMUBANO, IZ’UBUCURUZI, IZ’UMURIMO, N’IZ’UBUTEGETSI",Amabwiriza,UMUTWE WA MBERE: INGINGO RUSANGE,ICYICIRO CYA 3: ABAFITE URUHARE MU BWUNZI,Ingingo ya 12: Abahagarariye ababuranyI,"Buri ruhande rushobora guhagarariwa n’umuntu umwe cyangwa benshi rwihitiyemo kandi rwabihereye ububasha bwo gufata ibyemezo byose bikenewe. Umuhuza, abyibwirije cyangwa abisabwe n’uruhande urwo ari rwo rwose ashobora gusaba ko agaragarizwa, mu buryo ashobora kugena, ikimenyetso cy’ubwo bubasha bwo guhagararira uruhande runaka.",
"AMABWIRIZA N° 001/2019 YO KU WA 05/12/2019 YA PEREZIDA W’URUKIKO RW’IKIRENGA YEREKEYE UBWUNZI MU MANZA Z’IMBONEZAMUBANO, IZ’UBUCURUZI, IZ’UMURIMO, N’IZ’UBUTEGETSI",Amabwiriza,UMUTWE WA MBERE: INGINGO RUSANGE,ICYICIRO CYA 3: ABAFITE URUHARE MU BWUNZI,Ingingo ya 13: Abunganira abandi mu mategeko,"Abunganira abandi mu mategeko iyo bahari 
bafite 
inshingano zo gushishikariza abo 
bunganira kugira uruhare mu bwunzi bakora 
nibura ibi bikurikira: 
a)  gusobanurira abo bunganira uburyo 
ubwunzi bugenda no kubashishikariza 
kwitabira ibiganiro; 
b) gufasha abo bunganira kugira icyo 
bigomwa cyatuma na bo babona icyo bashaka; 
 
c)  gutegura inyandiko zose zafasha mu 
bwunzi; 
 
 
d) gufasha ababuranyi kureba inzira zose 
zatuma ubwunzi bwihuta kandi 
bukagera ku ntego yo kumvikana; 
 
 
e)  kwandika umwanzuro w’ubwumvikane 
impande zombi zemeranyijweho mu 
biganiro; 
 
f) gufatanya n’umuhuza gufasha impande 
zombi kumvikana kandi akabikora nta 
buriganya.",
"AMABWIRIZA N° 001/2019 YO KU WA 05/12/2019 YA PEREZIDA W’URUKIKO RW’IKIRENGA YEREKEYE UBWUNZI MU MANZA Z’IMBONEZAMUBANO, IZ’UBUCURUZI, IZ’UMURIMO, N’IZ’UBUTEGETSI",Amabwiriza,UMUTWE WA MBERE: INGINGO RUSANGE,ICYICIRO CYA 4: IMIGENDEKERE Y’UBWUNZI,Ingingo ya 14: Ibiganiro byo gutegurana na buri ruhande igikorwa cy’ubwunzi,"Mbere yo gutangiza igikorwa cyo kunga, Umuhuza agirana na buri ruhande ibiganiro bitegura igikorwa cy’ubwunzi nyirizina bigamije: a) kubaka ikizere hagati ye n’impande zombi;  b) kumenya abazaza mu bwunzi no 
kumenya niba bafite ububasha bwo 
gufata ibyemezo bikenewe ; 
c)  kubashishikariza kuza mu bwunzi no 
kuzagira uruhare mu biganiro; 
d) kumvikana kuri gahunda y’ubwunzi 
igihe izamara, umubare w’ibiganiro 
bizakorwa; 
e)  gusobanukirwa ishusho y’imibanire 
hagati y’impande zombi; 
f) gukemura impungenge impande zombi 
zaba zifite; 
g) gufasha impande zombi kwitegura 
igikorwa cy’Ubwunzi nyirizina.",
"AMABWIRIZA N° 001/2019 YO KU WA 05/12/2019 YA PEREZIDA W’URUKIKO RW’IKIRENGA YEREKEYE UBWUNZI MU MANZA Z’IMBONEZAMUBANO, IZ’UBUCURUZI, IZ’UMURIMO, N’IZ’UBUTEGETSI",Amabwiriza,UMUTWE WA MBERE: INGINGO RUSANGE,ICYICIRO CYA 3: ABAFITE URUHARE MU BWUNZI,Ingingo ya 15: Kwakira abaje mu bwunzi,"Umuhuza yakira neza abaje mu bwunzi mu 
buryo bubagaragariza ko abitayeho kandi azi 
icyo akora kugira ngo batekane kandi bamugirire 
icyizere ku buryo bumva bisanzuye mu gutanga 
ibitekerezo no kuvuga ibibabangamiye  
Ashingiye ku byo yamenye mu gutegura 
ubwunzi ku mibanire y’ababuranyi, yirinda ko 
bahura igihe abona ko batarashobora kwicara  hamwe ngo baganire. ",
"AMABWIRIZA N° 001/2019 YO KU WA 05/12/2019 YA PEREZIDA W’URUKIKO RW’IKIRENGA YEREKEYE UBWUNZI MU MANZA Z’IMBONEZAMUBANO, IZ’UBUCURUZI, IZ’UMURIMO, N’IZ’UBUTEGETSI",Amabwiriza,UMUTWE WA MBERE: INGINGO RUSANGE,ICYICIRO CYA 3: ABAFITE URUHARE MU BWUNZI,Ingingo ya 16: Ibiganiro bya mbere na buri ruhande,"Iyo Umuhuza asanze ari ngombwa kandi 
bishoboka bitewe n’imiterere y’ibibazo, ahura na 
buri ruhande kugira ngo abarugize abategure 
guhura n’urundi ruhande, anabasobanurira uko 
ari butange ijambo, n’uko buri ruhande ruri 
bugaragarize urundi ikibazo rufite mu magambo 
make.  
Umuhuza yumvikana na buri ruhande uri 
buhabwe ijambo bwa mbere n’uza kurivuga, 
agasobanura uko ari bwicaze abantu mu biganiro 
n’impamvu yabyo, akamenyesha buri ruhande 
abaje mu bwunzi ku rundi ruhande.  
Umuhuza akora uko ashoboye kose kugira ngo 
muri icyo kiganiro ibintu byose bishobora 
kubangamira ibiganiro byubaka biveho, impande 
zose zize guhura zifite ku mutima gusa 
kwikiranura. ",
"AMABWIRIZA N° 001/2019 YO KU WA 05/12/2019 YA PEREZIDA W’URUKIKO RW’IKIRENGA YEREKEYE UBWUNZI MU MANZA Z’IMBONEZAMUBANO, IZ’UBUCURUZI, IZ’UMURIMO, N’IZ’UBUTEGETSI",Amabwiriza,UMUTWE WA MBERE: INGINGO RUSANGE,ICYICIRO CYA 3: ABAFITE URUHARE MU BWUNZI,Ingingo ya 17: Ibiganiro bitangiza ubwunzi,"Umuhuza agomba gutegura neza inama ya mbere ihuza impande zombi kandi abashishikariza  kuganira mu kinyabupfura no kubahana.  
Umuhuza agerageza kugaragariza abari aho ko 
ashoboye kuyobora ibiganiro mu ituze 
n’umutekano, asaranganya amagambo ku buryo 
bungana hagati y’impande zombi kandi ntawe 
anigana ijambo, yasanga akeneye igihe kirekire 
cyo kumva uruhande rumwe agasobanurira 
urundi impamvu. ",
"AMABWIRIZA N° 001/2019 YO KU WA 05/12/2019 YA PEREZIDA W’URUKIKO RW’IKIRENGA YEREKEYE UBWUNZI MU MANZA Z’IMBONEZAMUBANO, IZ’UBUCURUZI, IZ’UMURIMO, N’IZ’UBUTEGETSI",Amabwiriza,UMUTWE WA MBERE: INGINGO RUSANGE,ICYICIRO CYA 3: ABAFITE URUHARE MU BWUNZI,Ingingo ya 18: Ijambo ry’ibanze ry’umuhuza,"Umuhuza agomba kuvuga ijambo ritangiza 
ibiganiro 
mu buryo butanga umurongo 
w’ibiganiro ku bandi bari aho, avugana ubupfura 
no kubaha, ashishikariza abari aho kugira 
ibiganiro byubaka, guhana ibitekerezo byiza, 
kuvugana ubwisanzure kandi nta kurengera 
cyangwa gukomeretsa abandi. 
Umuhuza agomba kandi guhita asobanura 
uruhare rwe mu biganiro, kwibutsa amahame 
ngenderwaho, gahunda y’umunsi n’uburyo 
ibiganiro biri bukurikirane. 
Iyo arangije ibyo, umuhuza yongera kubaza 
impande zombi niba hari ibisobanuro 
by’inyongera bikenewe byaba bihari akabitanga 
mbere y’uko atanga ijambo ahereye k’uwo 
impande zombi zemeranijweho.",
"AMABWIRIZA N° 001/2019 YO KU WA 05/12/2019 YA PEREZIDA W’URUKIKO RW’IKIRENGA YEREKEYE UBWUNZI MU MANZA Z’IMBONEZAMUBANO, IZ’UBUCURUZI, IZ’UMURIMO, N’IZ’UBUTEGETSI",Amabwiriza,UMUTWE WA MBERE: INGINGO RUSANGE,ICYICIRO CYA 3: ABAFITE URUHARE MU BWUNZI,Ingingo 19: Ijambo ry’ibanze rya buri ruhande,"Umuhuza atanga ijambo yibutsa abahari igihe buri ruhande rufite kugira ngo rubwire abandi mu magambo make uko rubona ibibazo, n’icyo rwifuza. Umuhuza yibutsa ko mu gihe ufite ijambo avuga abandi batega amatwi bitaye ku biri kuvugwa kuko na bo bari bugire igihe cyo kuvuga. Umuhuza ashishikariza impande zombi kuvuga babwirana ubwabo kuko ari umwanya wo kugira ngo umwe abwire undi icyo ashaka, akibutsa amahame ajyanye n’uko ibivugiwe mu bwunzi ntawe bigiraho ingaruka kubera ko bitakoreshwa mu manza kumvikana bidashobotse cyangwa ngo bivugirwe ahandi hatari aho, ko buri wese afite inshingano yo kugira ibanga ibivugiwe aho, keretse byumvikanyweho ukundi. Mu gihe uwahawe ijambo arimo kuvuga, umuhuza amutega akamubaza ibibazo bimufasha gutanga ibitekerezo bye no kubisobanura neza Iyo uvugira uruhande amaze kuvuga, umuhuza asaba abandi bari kumwe na we kugira icyo  bongeraho 
niba 
gihari, 
abashishikariza 
gukomeza kuvuga mu gihe hari icyo byongera ku 
biganiro. 
Umuhuza asoza ikiganiro iyo abona ko ntawe 
ugishaka kugira icyo avuga, asubiriramo mu 
ncamake abari aho ibyavuyemo by’ingenzi, ibyo 
impande zombi zishobora kuba zihurizaho, ibyo 
zitarumvikanaho, n’ibikwiye gukorwa kugira 
ngo kumvikana bigerweho. 
Mu gusoza umuhuza asobanura gahunda 
ikurikiyeho yo gusesengura ibyo bamaze kubona 
nk’ibibazo, impande zose ziri kumwe cyangwa 
se zitari kumwe",
"AMABWIRIZA N° 001/2019 YO KU WA 05/12/2019 YA PEREZIDA W’URUKIKO RW’IKIRENGA YEREKEYE UBWUNZI MU MANZA Z’IMBONEZAMUBANO, IZ’UBUCURUZI, IZ’UMURIMO, N’IZ’UBUTEGETSI",Amabwiriza,UMUTWE WA MBERE: INGINGO RUSANGE,ICYICIRO CYA 3: ABAFITE URUHARE MU BWUNZI,Ingingo ya 20: Ibiganiro bisesengura ibyo impande zikeneye,"Nyuma y’ibiganiro bitangiza ubwunzi, umuhuza akomeza ibiganiro ku bibazo byagaragaye bisesengura ibyo impande zombi zikeneye kugira ngo zigere ku bwumvikane. Umuhuza afasha impande zombi gukomeza ibiganiro abaza ibibazo bifunguye bituma impande zombi zihana amakuru ku mizi y’ibibazo impaka zishingiraho byaba inyungu zifatika cyangwa inyungu zidafatika nko guhabwa agaciro cyangwa amarangamutima atera amakimbirane.  Umuhuza ashobora kuyobora ibiganiro impande 
zose ziri kumwe cyangwa se agahura na buri 
ruhande.  
Iyo umuhuza ahisemo gutandukanya impande 
zombi, agomba gusobanura uko biri bugende, 
uruhande aganira na rwo bwa mbere n’impamvu 
kandi agasiga ahaye urundi umukoro.",
